Well ID,S.No,STATE,DISTRICT,BLOCK,LOCATION,LATITUDE,LONGITUDE,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U(ppb)
W113126092431802,1.0,A&N Islands,South Andaman,PORT BLAIR,Kodiaghat,11.545,92.74583,2021.0,7.74,349.0,0,183.0,25.0,1,1,,175.0,34.0,22.0,10.0,0.0,0.84,,206.0,4.8
W113616092411001,2.0,A&N Islands,South Andaman,PORT BLAIR,Sippighat,11.6025,92.73,2021.0,7.53,660.0,0,262.0,82.0,5,1,,250.0,52.0,29.0,51.0,1.0,0.28,,381.0,6.4
W113640092443301,3.0,A&N Islands,South Andaman,PORT BLAIR,Brichganj,11.62083,92.73028,2021.0,7.5,270.0,0,116.0,35.0,1,0,,125.0,4.0,28.0,10.0,1.0,0.46,,151.0,BDL
W114421092422801,4.0,A&N Islands,South Andaman,FERRARGUNJ,Wimberleyganj,11.7325,92.70861,2021.0,7.6,311.0,0,159.0,39.0,2,0,,135.0,26.0,17.0,15.0,2.0,0.37,,198.0,0.4
W113955092391801,5.0,A&N Islands,South Andaman,FERRARGUNJ,Ograbraj,11.66361,92.65806,2021.0,7.82,2501.0,0,512.0,560.0,56,5,,465.0,56.0,79.0,336.0,18.0,0.95,,1424.0,BDL
W113137092432201,6.0,A&N Islands,South Andaman,PORT BLAIR,Burmanala,11.55778,92.72917,2021.0,7.71,264.0,0,153.0,35.0,1,1,,130.0,26.0,16.0,15.0,0.0,0.57,,188.0,3.4
W113227092433001,7.0,A&N Islands,South Andaman,PORT BLAIR,Calicut,11.6075,92.72556,2021.0,7.79,535.0,0,323.0,28.0,1,1,,245.0,38.0,36.0,19.0,0.0,0.41,,321.0,0.1
W114348092404801,8.0,A&N Islands,South Andaman,FERRARGUNJ,Saitankhari,11.71167,92.67111,2021.0,7.78,440.0,0,226.0,39.0,1,1,,190.0,36.0,24.0,22.0,2.0,0.69,,264.0,0.8
W123020092544201,9.0,A&N Islands,N&M Andaman,MAYABUNDER,Rangat,12.50611,92.90861,2021.0,7.92,592.0,0,317.0,35.0,1,0,,265.0,34.0,44.0,15.0,2.0,0.32,,325.0,2.3
W123014092513301,10.0,A&N Islands,N&M Andaman,MAYABUNDER,Bakultala,12.50417,92.85833,2021.0,7.78,456.0,0,226.0,21.0,5,2,,205.0,38.0,27.0,14.0,7.0,0.6,,251.0,0.3
W123129092581301,11.0,A&N Islands,N&M Andaman,MAYABUNDER,Nimbutala,12.49444,92.95417,2021.0,7.78,531.0,0,323.0,25.0,2,1,,245.0,36.0,38.0,14.0,1.0,0.68,,314.0,0.9
W123030092573801,12.0,A&N Islands,N&M Andaman,MAYABUNDER,Padmanavapuram,12.60667,92.94917,2021.0,7.29,506.0,0,275.0,32.0,0,0,,215.0,32.0,33.0,14.0,1.0,0.66,,280.0,BDL
W124940092512801,13.0,A&N Islands,N&M Andaman,MAYABUNDER,Rest Camp,12.83278,92.85917,2021.0,7.75,431.0,0,220.0,25.0,1,1,,195.0,20.0,35.0,18.0,1.0,0.4,,234.0,1.1
W113427092395101,14.0,A&N Islands,South Andaman,PORT BLAIR,Gupta Para,11.55972,92.65861,2021.0,7.22,147.0,0,49.0,25.0,0,0,,50.0,16.0,2.0,9.0,1.0,0.37,,84.0,0.5
W121001092455601,15.0,A&N Islands,N&M Andaman,RONGET,Baratang (Nilambur),12.16833,92.76694,2021.0,7.83,548.0,0,293.0,28.0,1,1,,200.0,26.0,33.0,35.0,1.0,0.49,,303.0,0.5
W121858092472001,16.0,A&N Islands,N&M Andaman,RONGET,Uttara,12.16139,92.79,2021.0,7.59,253.0,0,122.0,28.0,1,1,,110.0,22.0,13.0,11.0,2.0,0.47,,153.0,0.5
W122041092464401,17.0,A&N Islands,N&M Andaman,RONGET,Kadamtala,12.34917,92.77417,2021.0,7.9,626.0,0,342.0,28.0,1,1,,240.0,26.0,43.0,48.0,1.0,0.38,,356.0,0.1
W122009092455601,18.0,A&N Islands,N&M Andaman,RONGET,Porlobjig-15,12.49556,92.78111,2021.0,7.7,349.0,0,189.0,25.0,1,1,,150.0,22.0,23.0,16.0,3.0,0.7,,206.0,0.1
W122724092462501,19.0,A&N Islands,N&M Andaman,RONGET,Tikadera,12.52278,92.81389,2021.0,7.38,186.0,0,92.0,21.0,0,1,,80.0,22.0,6.0,9.0,2.0,0.48,,117.0,0.2
W125604092513601,20.0,A&N Islands,N&M Andaman,MAYABUNDER,Mohanpur,12.95417,92.83556,2021.0,7.61,579.0,0,238.0,60.0,6,8,,195.0,36.0,26.0,50.0,7.0,0.34,,338.0,BDL
W251045079470001,21.0,A&N Islands,N&M Andaman,KABRAI,Srinagar,13.13944,92.86806,2021.0,7.38,387.0,0,195.0,21.0,2,1,,115.0,32.0,9.0,44.0,3.0,0.31,,231.0,BDL
W131024092555501,22.0,A&N Islands,N&M Andaman,DIGLIPUR,Nabagram,13.15472,92.94833,2021.0,7.31,278.0,0,177.0,21.0,1,3,,145.0,14.0,27.0,9.0,1.0,0.43,,185.0,0.8
W131351092571902,23.0,A&N Islands,N&M Andaman,DIGLIPUR,Durgapur,13.27333,93.03194,2021.0,7.54,475.0,0,238.0,35.0,11,4,,190.0,38.0,23.0,32.0,2.0,0.39,,292.0,4.1
W131708093001101,24.0,A&N Islands,N&M Andaman,DIGLIPUR,Laxmipur,13.27583,92.96667,2021.0,7.29,360.0,0,134.0,21.0,38,2,,120.0,28.0,12.0,32.0,5.0,0.54,,221.0,0.7
W131427092592601,25.0,A&N Islands,N&M Andaman,DIGLIPUR,Subhasgram,13.25222,92.97417,2021.0,7.55,844.0,0,329.0,28.0,86,7,,355.0,56.0,52.0,42.0,2.0,0.34,,475.0,5
W124345092530501,26.0,A&N Islands,N&M Andaman,MAYABUNDER,Basantipur,12.7575,92.8725,2021.0,7.69,366.0,0,220.0,18.0,2,0,,175.0,36.0,21.0,14.0,2.0,0.57,,227.0,6.4
W113938092443601,27.0,A&N Islands,South Andaman,PORT BLAIR,Marina Park,11.67167,92.74667,2021.0,7.77,378.0,0,220.0,25.0,1,0,,195.0,42.0,22.0,11.0,2.0,0.38,,237.0,2.3
W114231092390001,28.0,A&N Islands,South Andaman,FERRARGUNJ,Annikat,11.70833,92.65,2021.0,7.45,412.0,0,195.0,35.0,3,2,,140.0,28.0,17.0,24.0,1.0,0.68,,230.0,2.9
W114016092415501,29.0,A&N Islands,South Andaman,FERRARGUNJ,Namunagar,11.69028,92.68028,2021.0,7.52,273.0,0,146.0,25.0,2,1,,120.0,28.0,12.0,12.0,1.0,0.52,,172.0,0.1
W122205092551201,30.0,A&N Islands,Long Island,RONGET,Long Island,12.36444,92.92333,2021.0,7.14,533.0,0,305.0,25.0,5,2,,255.0,74.0,17.0,7.0,1.0,0.74,,317.0,1.8
W122200092552201,31.0,A&N Islands,Long Island,RONGET,Long Island (forest Area),12.36639,92.92333,2021.0,7.34,878.0,0,494.0,32.0,2,0,,280.0,40.0,44.0,55.0,11.0,0.68,,497.0,0.7
W115913092571701,32.0,A&N Islands,Havelock,PORT BLAIR,Radhanagar,11.99167,92.95333,2021.0,7.77,878.0,0,458.0,53.0,8,1,,245.0,48.0,30.0,75.0,8.0,0.22,,504.0,0.1
W123652092555501,33.0,A&N Islands,N&M Andaman,MAYABUNDER,Swadeshnagar,12.65083,92.89111,2021.0,7.6,260.0,0,146.0,18.0,8,0,,135.0,18.0,22.0,9.0,1.0,0.15,,165.0,2.5
W114004092441501,34.0,A&N Islands,South Andaman,PORT BLAIR,Light House,11.66778,92.73778,2021.0,7.79,858.0,0,458.0,50.0,6,0,,110.0,16.0,17.0,154.0,4.0,0.23,,527.0,4.5
W291530078553001,35.0,A&N Islands,Neil Island,Gadarpur,Bharatpur,11.83,93.03806,2021.0,7.25,557.0,0,329.0,35.0,3,1,,245.0,44.0,33.0,21.0,1.0,0.31,,338.0,0.8
W291530078553001,36.0,A&N Islands,Neil Island,Gadarpur,Bharatpur,11.83611,93.04444,2021.0,7.46,746.0,0,409.0,43.0,11,1,,300.0,64.0,34.0,40.0,3.0,0.25,,446.0,0.3
W243310081461201,37.0,A&N Islands,Neil Island,MAUGANJ,Sitapur,11.82,93.05972,2021.0,7.71,1020.0,0,488.0,74.0,4,1,,330.0,54.0,47.0,50.0,13.0,0.72,,543.0,0.1
W114955093010201,38.0,A&N Islands,Neil Island,PORT BLAIR,Laxmanpur,11.83194,93.01694,2021.0,7.59,953.0,0,415.0,78.0,24,2,,295.0,44.0,45.0,60.0,5.0,0.26,,511.0,1.7
W113947092444601,39.0,A&N Islands,Ross Island,PORT BLAIR,Ross Island,11.675,92.76167,2021.0,7.53,466.0,0,183.0,53.0,19,0,,210.0,48.0,22.0,12.0,2.0,0.37,,290.0,0.6
W113646092400201,40.0,A&N Islands,South Andaman,PORT BLAIR,Dhannikhari,11.61556,92.66778,2021.0,7.67,348.0,0,183.0,21.0,2,0,,160.0,26.0,23.0,11.0,0.0,1.21,,225.0,0.9
W113839092392201,41.0,A&N Islands,South Andaman,FERRARGUNJ,Port Mout,11.64389,92.65611,2021.0,7.87,448.0,0,226.0,18.0,25,0,,190.0,38.0,23.0,17.0,1.0,0.38,,287.0,0.8
W114056092381101,42.0,A&N Islands,South Andaman,FERRARGUNJ,Tushnabad,11.68222,92.63639,2021.0,7.92,749.0,0,262.0,92.0,6,6,,180.0,48.0,15.0,87.0,8.0,0.51,,437.0,0.7
W105435075551501,43.0,A&N Islands,South Andaman,THIRUR MUNICIPALITY,Tirur,11.72417,92.61361,2021.0,7.2,157.0,0,61.0,21.0,0,0,,60.0,18.0,4.0,7.0,1.0,0.82,,104.0,1.2
W114302092391001,44.0,A&N Islands,South Andaman,FERRARGUNJ,Ferrarganj,11.71694,92.65278,2021.0,7.5,1016.0,0,397.0,96.0,18,5,,230.0,62.0,18.0,127.0,7.0,0.31,,585.0,0.7
W114320092393901,45.0,A&N Islands,South Andaman,FERRARGUNJ,Bindraban,11.72167,92.66722,2021.0,7.88,372.0,0,183.0,18.0,4,0,,135.0,20.0,21.0,16.0,1.0,0.26,,205.0,0.7
W114358092423201,46.0,A&N Islands,South Andaman,FERRARGUNJ,Knoppuram,11.7325,92.70889,2021.0,7.66,461.0,0,220.0,21.0,40,0,,175.0,42.0,17.0,29.0,2.0,0.64,,305.0,0.1
W114730092363001,47.0,A&N Islands,South Andaman,FERRARGUNJ,Mile Tilak,11.79472,92.65556,2021.0,7.71,391.0,0,153.0,21.0,46,1,,135.0,38.0,10.0,29.0,6.0,0.45,,266.0,2.3
W114011092403601,48.0,A&N Islands,South Andaman,FERRARGUNJ,Mithakhari,11.01778,92.67306,2021.0,7.29,223.0,0,73.0,35.0,0,0,,130.0,40.0,7.0,34.0,3.0,0.18,,125.0,0.6
W113444092403501,49.0,A&N Islands,South Andaman,PORT BLAIR,Nayasahar,11.57889,92.67639,2021.0,7.53,190.0,0,67.0,18.0,10,0,,70.0,18.0,6.0,12.0,0.0,0.19,,118.0,0.1
W110705076071501,50.0,A&N Islands,South Andaman,MANJERI MUNICIPALITY,Manjeri,11.5375,92.64722,2021.0,7.15,609.0,0,183.0,78.0,15,1,,140.0,26.0,18.0,68.0,4.0,0.24,,339.0,0.6
W113551092375801,51.0,A&N Islands,South Andaman,PORT BLAIR,Mamyo,11.5975,92.63278,2021.0,7.55,169.0,0,67.0,25.0,0,0,,60.0,16.0,5.0,13.0,0.0,0.53,,112.0,BDL
W113833092433601,52.0,A&N Islands,South Andaman,PORT BLAIR,Lamba Line,11.645,92.73083,2021.0,7.81,326.0,0,140.0,43.0,2,2,,110.0,36.0,5.0,29.0,4.0,0.35,,223.0,0.7
W114317092435901,53.0,A&N Islands,South Andaman,FERRARGUNJ,Mount Harriyat,11.72139,92.73306,2021.0,7.04,202.0,0,67.0,21.0,17,1,,100.0,22.0,11.0,3.0,1.0,0.32,,121.0,1.6
W122440092454401,54.0,A&N Islands,N&M Andaman,RONGET,Phooltala Basti,12.41167,92.76222,2021.0,7.91,499.0,0,256.0,43.0,1,1,,225.0,22.0,41.0,19.0,4.0,0.21,,300.0,0.6
W130955092525301,55.0,A&N Islands,N&M Andaman,DIGLIPUR,Kishorinagar (Parangara),13.165,92.88167,2021.0,7.38,157.0,0,61.0,18.0,5,1,,65.0,12.0,9.0,6.0,1.0,0.32,,95.0,0.5
W131850092563301,56.0,A&N Islands,N&M Andaman,DIGLIPUR,Milangram,13.31417,92.94111,2021.0,7.91,931.0,0,281.0,113.0,61,3,,345.0,30.0,66.0,55.0,7.0,0.83,,515.0,0.1
W131434093023901,57.0,A&N Islands,N&M Andaman,DIGLIPUR,Shibpur,13.24306,93.04417,2021.0,7.72,748.0,0,348.0,67.0,0,1,,260.0,74.0,18.0,63.0,2.0,0.52,,439.0,0.1
W131537093004901,58.0,A&N Islands,N&M Andaman,DIGLIPUR,Keralapuram,13.26,93.01333,2021.0,8.07,481.0,0,165.0,32.0,47,1,,125.0,24.0,16.0,44.0,2.0,0.34,,279.0,5.6
W125022092511201,59.0,A&N Islands,N&M Andaman,MAYABUNDER,Pahalgaon,12.83944,92.85333,2021.0,7.64,616.0,0,299.0,32.0,7,1,,250.0,22.0,47.0,25.0,2.0,0.74,,340.0,3.5
W124157092525401,60.0,A&N Islands,N&M Andaman,MAYABUNDER,Joypur,12.69944,92.88139,2021.0,8.07,516.0,0,262.0,14.0,3,0,,225.0,22.0,41.0,5.0,0.0,0.26,,267.0,0.5
W123720092522201,61.0,A&N Islands,N&M Andaman,MAYABUNDER,Betapur,12.62583,92.92111,2021.0,8.03,427.0,0,171.0,25.0,37,0,,175.0,16.0,33.0,13.0,1.0,0.19,,246.0,1.1
W120159092585201,62.0,A&N Islands,Havelock Island,PORT BLAIR,Havelock Island Jetty,12.04111,92.98083,2021.0,7.66,1076.0,0,299.0,138.0,91,5,,280.0,80.0,19.0,107.0,8.0,0.73,,645.0,0.3
W120017093001701,63.0,A&N Islands,Havelock Island,PORT BLAIR,Vijaynagar,12.00528,93.00694,2021.0,7.54,579.0,0,293.0,46.0,4,1,,235.0,62.0,19.0,32.0,7.0,0.28,,370.0,1
W222820086432601,64.0,A&N Islands,Havelock Island,CHAKULIA,Kalapathar,11.97472,93.00583,2021.0,7.48,895.0,0,439.0,71.0,0,1,,285.0,78.0,22.0,87.0,3.0,0.39,,530.0,0.1
W120001092583401,65.0,A&N Islands,Havelock Island,PORT BLAIR,Krishnanagar,12.00028,92.97583,2021.0,7.58,446.0,0,134.0,28.0,63,0,,195.0,60.0,11.0,3.0,3.0,0.17,,321.0,0.5
W114953093010801,66.0,A&N Islands,Neil Island,PORT BLAIR,Pearl Park Resort,11.84583,92.015,2021.0,7.55,673.0,0,293.0,74.0,21,1,,240.0,64.0,19.0,49.0,2.0,0.08,,436.0,0.3
W114909093023001,67.0,A&N Islands,Neil Island,PORT BLAIR,Ramnagar,13.31417,92.94111,2021.0,7.65,593.0,0,244.0,50.0,10,0,,240.0,54.0,26.0,23.0,3.0,0.96,,333.0,3.9
W175430082071501,68.0,Andhra Pradesh,Visakhapatnam,GUDEM KOTHAVEEDI,Dharakonda,17.9083,82.1208,2021.0,6.8,410.0,0,171.0,25.0,8,41,N.A.,180.0,38.0,21.0,13.0,2.0,0.401,N.A.,,
W175300083260001,69.0,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-1,17.8833,83.4333,2021.0,7.2,760.0,0,189.0,82.0,20,97,N.A.,195.0,50.0,17.0,71.0,22.0,0.322,N.A.,,
W175300083260002,70.0,Andhra Pradesh,Visakhapatnam,BHEEMUNIPATNAM,Bhimunipatnam-2,17.8833,83.4333,2021.0,7.3,2650.0,0,695.0,298.0,160,186,N.A.,780.0,184.0,78.0,164.0,140.0,0.593,N.A.,,
W172255082461501,71.0,Andhra Pradesh,Visakhapatnam,NAKKALLI,Gurrajupeta,17.3819,82.7708,2021.0,7.21,2750.0,0,708.0,397.0,143,120,N.A.,780.0,200.0,68.0,274.0,26.0,0.677,N.A.,,
W173030082400002,72.0,Andhra Pradesh,Visakhapatnam,KOTAURATLA,Purshotta Puram,17.5083,82.6667,2021.0,7.69,1400.0,0,549.0,99.0,70,55,N.A.,310.0,64.0,36.0,175.0,11.0,1.59,N.A.,,
W174536082330201,73.0,Andhra Pradesh,Visakhapatnam,KOYYURU,Pata K.d.peta,17.6708,82.3625,2021.0,7.5,1150.0,0,476.0,71.0,45,53,N.A.,390.0,104.0,32.0,62.0,23.0,0.509,N.A.,,
W172730082510001,74.0,Andhra Pradesh,Visakhapatnam,S.RAYAVARAM,Rayavaram,17.4583,82.85,2021.0,7.61,2140.0,0,610.0,298.0,80,23,N.A.,580.0,56.0,107.0,219.0,8.0,0.533,N.A.,,
W175904083282801,75.0,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Lawson's Bay,17.7306,83.3433,2021.0,7.31,2740.0,0,952.0,269.0,135,24,N.A.,540.0,56.0,97.0,334.0,68.0,0.688,N.A.,,
W174929083162601,76.0,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Kancherapalem (Govt. Polytechnic),17.7342,83.28,2021.0,7.7,1140.0,0,451.0,78.0,70,24,N.A.,320.0,48.0,49.0,117.0,0.0,0.807,N.A.,,
W170640082154501,77.0,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Pithapuram,17.7153,83.3319,2021.0,7.28,690.0,0,214.0,71.0,35,18,N.A.,205.0,42.0,24.0,60.0,0.0,0.338,N.A.,,
W175407083145101,78.0,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Gopalpatnam PZ,17.7617,83.2203,2021.0,7.6,800.0,0,281.0,71.0,36,17,N.A.,250.0,46.0,33.0,64.0,2.0,0.594,N.A.,,
W180421083274601,79.0,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Anandapuram PZ,17.8919,83.3711,2021.0,7.4,350.0,0,165.0,14.0,13,5,N.A.,105.0,28.0,9.0,23.0,16.0,0.485,N.A.,,
W174914083182001,80.0,Andhra Pradesh,Visakhapatnam,VISAKHAPATNAM(U),Akkireddipalem PZ,17.7092,83.2072,2021.0,7.29,780.0,0,360.0,35.0,35,5,N.A.,205.0,36.0,28.0,85.0,1.0,0.918,N.A.,,
W175353082592001,81.0,Andhra Pradesh,Visakhapatnam,BUCHCHAYYAPETA,L.Singavaram,17.8139,82.8167,2021.0,7.3,950.0,0,464.0,35.0,29,3,N.A.,305.0,54.0,41.0,78.0,1.0,0.817,N.A.,,
W180441082255101,82.0,Andhra Pradesh,Visakhapatnam,PENDURTI,Bandavaripalem X road,17.7147,82.5906,2021.0,7.6,1630.0,0,366.0,142.0,281,30,N.A.,560.0,64.0,97.0,98.0,30.0,0.982,N.A.,,
W175014082404101,83.0,Andhra Pradesh,Visakhapatnam,GOLUGONDA,Naganna Dorapalem,17.7014,82.4792,2021.0,7.32,850.0,0,476.0,11.0,18,4,N.A.,275.0,56.0,33.0,69.0,5.0,1,N.A.,,
W270611093414001,84.0,Arunachal Pradesh,PAPUMPARE,,Doimukh,Naharlagun I,27.1,93.69,2021,8.07,367.3,0.0,103.78,31.905,14.94,40.32,,155.0,16.01,27.9,14.49,6.11,0.26,,197.5
W272730096063001,85.0,Arunachal Pradesh,Changlang,,Miao circle,Namphai,27.446084,96.10863,2021,7.88,114.7,0.0,73.26,3.545,2.09,5.26,,75.0,6.0,14.56,1.3,0.31,0.12,,61.1
W272500096024501,86.0,Arunachal Pradesh,Changlang,,Miao circle,Namchik,27.414577,95.971986,2021,7.79,122,0.0,61.05,14.18,10.36,6.48,,70.0,12.01,9.7,2.93,1.6,0.13,,64.77
W275818095452601,87.0,Arunachal Pradesh,Lower Dibang valley,,Roing,Kangklong,27.97171,95.75741,2021,7.71,207.9,0.0,67.15,10.635,14.9,14.46,,45.0,16.01,1.21,14.23,9.08,0.13,,109.1
W271200095313001,88.0,Arunachal Pradesh,Tirap,,Khonsa circle,Deomali,27.196588,95.462758,2021,7.49,146.4,0.0,42.73,17.725,13.67,4.23,,65.0,8.01,10.92,6.82,3.49,0.04,,77.5
W274000095523001,89.0,Arunachal Pradesh,Lohit,,Namsai circle,Lathow,27.73948,95.909805,2021,7.39,47.35,0.0,54.94,10.635,3.05,0.06,,30.0,10.01,1.21,15.91,2.06,0.06,,25.09
W270100095280001,90.0,Arunachal Pradesh,Tirap,,Khonsa circle,Borduria,27.115189,95.413139,2021,7.36,44.2,0.0,24.42,17.725,2.75,1.05,,45.0,6.0,7.28,1.76,0.37,0.08,,23.17
W270030095280001,91.0,Arunachal Pradesh,Tirap,,Khonsa circle,Hukanjuri,27.125802,95.437686,2021,7.05,112.4,0.0,67.15,60.265,8.01,13.58,,155.0,6.0,33.98,7.06,4.13,0.04,,59.51
W261210093062301,92.0,Assam,East Kaarbi-Anglong,,Raha,Swarghati,26.2027778,93.10638889,2021,8.77,337.9,12.0,238.09,28.36,0,12.57,,185.0,48.04,15.75,18.59,13.9,0.7,,196.6
W261113092440601,93.0,Assam,Nagaon,,Kathiatoli,Kathiatoli,26.1880556,92.70277778,2021,8.76,505.4,9.0,231.99,77.99,45.24,12.54,,205.0,46.04,21.82,48.6,22.74,0.62,,297.2
W261418091443401,94.0,Assam,Kamrup,Metro,NorthGuwahati,Dirgheswari,26.2388889,91.73994444,2021,8.72,369.7,15.0,244.2,53.175,18.91,0,,205.0,34.03,29.11,37.8,7.99,1.8,,197.8
W260101093225401,95.0,Assam,Karbi Anglong,,Bokajan,Terangaon,26.0225,93.38177778,2021,8.7,246,6.0,195.36,14.18,8.31,0,,145.0,44.04,8.47,11.53,35,0.61,,142.5
W261210093080001,96.0,Assam,East Kaarbi-Anglong,,Howraghat,Langhing,26.2027778,93.13333333,2021,8.7,249.1,6.0,140.41,28.36,10.54,30.82,,120.0,32.03,9.69,27.62,3.9,0.88,,144.2
W254600093103001,97.0,Assam,Nagaon,,Lanka,Lumding,25.758808,93.17457,2021,8.68,540.2,21.0,274.72,38.995,26.02,17.96,,220.0,44.04,26.68,45.14,9.52,0.88,,311.4
W261229093035601,98.0,Assam,East Kaarbi-Anglong,,Samelangso,Dokmoka,26.2083333,93.06555556,2021,8.68,197.8,12.0,152.62,10.635,7.66,22.75,,110.0,36.03,4.84,25.42,5.06,0.64,,114.8
W230530080300001,99.0,Assam,East Kaarbi-Anglong,,Howraghat,Manikpur,26.2497222,93.14638889,2021,8.66,474.3,15.0,293.03,49.63,9.72,11.48,,140.0,26.02,18.19,65.7,38.15,0.72,,276.4
W261453091412401,100.0,Assam,Kamrup,,Bejera,Dhobartari,26.2481944,91.69025,2021,8.66,449.5,12.0,238.09,155.98,12.12,0.5,,175.0,52.04,10.9,78.92,48.6,1.1,,240.8
W262406092483001,101.0,Assam,Nagaon,,Samulguri,Pahukata,26.4019444,92.80916667,2021,8.64,728.1,21.0,445.66,88.625,21.69,0,,330.0,56.04,46.09,48.68,50.93,0.66,,423.5
W261800092470001,102.0,Assam,Nagaon,,Brahmpur,Bamuni Tinali,26.2952778,92.7925,2021,8.64,312.1,6.0,152.62,38.995,20.39,0,,105.0,30.02,7.27,21.72,33.8,0.66,,182.1
W262500092370001,103.0,Assam,Nagaon,,Nagaon,Telia bebejia,26.4411111,92.64,2021,8.62,286.6,12.0,177.04,24.815,11.56,0,,130.0,36.03,9.69,24.92,10.78,0.97,,165
W260418092123701,104.0,Assam,Morigaon,,Mayong,Silsang Namghar,26.1216667,92.3508333,2021,8.59,214.5,3.0,91.57,24.815,11.13,0,,120.0,28.02,12.12,2.41,8.44,0.74,,121.1
W261015091350501,105.0,Assam,Kamrup,,Hajo,Sualkuchi,26.1674444,91.57083333,2021,8.54,1143,18.0,543.33,145.35,4.8,2.03,,430.0,72.06,60.64,95.88,72.54,0.95,,607
W261056093084901,106.0,Assam,East Kaarbi-Anglong,,Howraghat,Phuloni,26.1708333,93.13666667,2021,8.53,500.2,12.0,323.56,53.175,30.45,5.39,,255.0,48.04,32.74,44.01,14.6,0.83,,297.5
W263532092560401,107.0,Assam,Nagaon,,Kaliabor,Silghat,26.6069444,92.92916667,2021,8.49,410.4,15.0,280.82,28.36,21.19,13.86,,225.0,52.04,23.03,28.68,11.09,1,,240.1
W255639091070501,108.0,Assam,Goalpara,,Rongjuli,Rajapara,25.9458333,91.11333333,2021,8.48,348.1,6.0,268.61,17.725,1.29,0.52,,105.0,26.02,9.7,52.11,52.3,2.3,,185
W255739093291801,109.0,Assam,Karbi Anglong,,Bokajan,Amlokhi,25.9538889,93.48861111,2021,8.45,1058,6.0,659.33,138.255,19.41,0.77,,255.0,32.03,42.46,176.72,43.8,0.62,,629.7
W255447092574201,110.0,Assam,Nagaon,,Lanka,Lanka,26.1880556,92.73611111,2021,8.45,111.2,9.0,207.57,113.44,5.09,0,,230.0,24.02,41.25,54.79,0.85,0.42,,64.15
W262900092293002,111.0,Assam,Nagaon,,Kathiatoli,Bichamari,26.4013889,92.46,2021,8.44,428.1,15.0,213.67,38.995,15.49,20.08,,200.0,54.04,15.75,27.69,3.13,0.97,,245.8
W261521092134601,112.0,Assam,Morigaon,,Bhurbandha,Garmari Gaon,26.2630556,92.22361111,2021,8.44,468.9,21.0,360.19,17.725,0,2.33,,270.0,92.07,9.66,9.2,28.08,0.99,,270.8
W255424093393901,113.0,Assam,Karbi Anglong,,Bokajan,Lahorijan,25.9069444,93.66138889,2021,8.43,670.8,9.0,231.99,109.895,13,36.42,,250.0,50.04,30.32,85.72,7.57,0.5,,393.6
W255900092554401,114.0,Assam,Nagaon,,Dhalpukhri,Jurapukhuri,25.9652778,92.94361111,2021,8.42,493.5,9.0,195.36,24.815,16.53,7.36,,150.0,44.04,9.69,27.13,7.04,0.83,,284.6
W263400092514301,115.0,Assam,Nagaon,,Kaliabor,Dalapani,26.5672222,92.86222222,2021,8.42,545.7,21.0,335.77,46.085,20.85,0,,270.0,66.05,25.45,26.83,21.19,0.87,,318
W255817090570901,116.0,Assam,Goalpara,,Rongjuli,Sarapara,25.9713889,90.9525,2021,8.39,273.1,9.0,225.88,28.36,2.57,0.14,,100.0,24.02,9.7,54.82,31.93,1.6,,147
W262356092135501,117.0,Assam,Morigaon,,Lahorighat,Barukati,26.4,92.2319444,2021,8.39,369.1,9.0,201.46,28.36,8.98,0.2,,190.0,18.01,35.19,10.27,3.01,0.98,,213.2
W261723091424301,118.0,Assam,Kamrup,,Bejera,Dora Kahara,26.2898889,91.71211111,2021,8.39,469.7,9.0,238.09,209.155,2.77,1.07,,240.0,38.03,35.18,72.43,46.72,0.65,,266.5
W272830095220001,119.0,Assam,Tinsukia,,Guijan,Tinsukia,27.484937,95.351924,2021,8.39,768.1,9.0,146.52,95.715,26.25,41.36,,230.0,32.03,36.39,50.05,19.24,0.09,,411.1
W261136092144301,120.0,Assam,Morigaon,,Morigaon,Kumoi,26.1936111,92.2452778,2021,8.38,413.7,6.0,140.41,38.995,10.85,0,,135.0,22.02,19.41,20.64,3.73,1.4,,240.5
W261615091131401,121.0,Assam,Nalbari,,Barkhetri,Daulasal,26.2709722,91.22075,2021,8.38,626.8,18.0,250.3,205.61,14.95,0.32,,270.0,78.06,18.17,79.61,39.01,0.74,,330.9
W274510095082001,122.0,Assam,DHEMAJI,,Murkongselek,Bijoypur,27.7803889,95.16677778,2021,8.38,438.2,9.0,219.78,38.995,22.97,17.12,,185.0,36.03,23.04,30.14,10.59,0.54,,233.1
W261136092144301,123.0,Assam,Morigaon,,Morigaon,Kumoi,26.1936111,92.24527778,2021,8.37,772.9,12.0,286.93,170.16,14.91,0,,265.0,72.06,20.6,112.24,6.42,1.1,,455.9
